Player,AvgClubheadSpeed
Hunter Mahan (2018),115.27
Branden Grace (2018),115.23
Daniel Berger (2018),115.21
Robert Streb (2018),115.13
Mackenzie Hughes (2018),115.01
Emiliano Grillo (2018),115
Shawn Stefani (2018),114.97
Xinjun Zhang (2018),114.95
Martin Laird (2018),114.93
Martin Flores (2018),114.91
Dominic Bozzelli (2018),114.91
Patrick Cantlay (2018),114.8
Corey Conners (2018),114.66
J.J. Spaun (2018),114.58
Kevin Streelman (2018),114.53
Shane Lowry (2018),114.49
Billy Horschel (2018),114.48
Sean O'Hair (2018),114.47
Keegan Bradley (2018),114.39
Aaron Wise (2018),114.38
Louis Oosthuizen (2018),114.36
Tyler Duncan (2018),114.3
James Hahn (2018),114.28
Chesson Hadley (2018),114.26
Aaron Baddeley (2018),113.89
Nate Lashley (2018),113.86
Kevin Na (2018),113.76
Nicholas Lindheim (2018),113.56
Stephan Jaeger (2018),113.54
"Ted Potter, Jr. (2018)",113.5
Scott Brown (2018),113.5
Sam Saunders (2018),113.47
Kiradech Aphibarnrat (2018),113.46
Cameron Smith (2018),113.45
Jordan Spieth (2018),113.44
Andrew Putnam (2018),113.36
Bronson Burgoon (2018),113.33
Denny McCarthy (2018),113.28
Matt Every (2018),113.06
Joel Dahmen (2018),112.78
J.J. Henry (2018),112.78
Francesco Molinari (2018),112.73
Kyle Stanley (2018),112.65
Scott Piercy (2018),112.59
Sung Kang (2018),112.57
Kevin Kisner (2018),112.5
Jason Dufner (2018),112.4
Rod Pampling (2018),112.37
Cody Gribble (2018),112.31
Bud Cauley (2018),112.3
Russell Henley (2018),112.29
Ben Martin (2018),112.2
Brice Garnett (2018),112.2
Rafa Cabrera Bello (2018),112.17
Rob Oppenheim (2018),112.17
Rory Sabbatini (2018),112.09
Fabián Gómez (2018),112.05
Troy Merritt (2018),112.04
Chris Kirk (2018),112.01
Retief Goosen (2018),111.99
Chris Stroud (2018),111.96
Tyrone Van Aswegen (2018),111.94
Anirban Lahiri (2018),111.86
Abraham Ancer (2018),111.85
Tom Hoge (2018),111.82
Michael Thompson (2018),111.7
Adam Hadwin (2018),111.69
Ian Poulter (2018),111.62
Si Woo Kim (2018),111.53
Jonathan Byrd (2018),111.51
Beau Hossler (2018),111.47
Peter Malnati (2018),111.46
