Player,Prox to Hole ARG
Ben Martin (2018),7.83
Jason Kokrak (2018),7.83
Scott Stallings (2018),7.83
Chris Stroud (2018),7.83
Sean O'Hair (2018),7.83
Ian Poulter (2018),7.83
Dominic Bozzelli (2018),7.92
Corey Conners (2018),7.92
Sam Ryder (2018),7.92
Patrick Rodgers (2018),7.92
Hudson Swafford (2018),7.92
Harris English (2018),7.92
Cameron Tringale (2018),7.92
Emiliano Grillo (2018),7.92
Anirban Lahiri (2018),7.92
Tommy Fleetwood (2018),7.92
Peter Uihlein (2018),7.92
Ryan Blaum (2018),7.92
Brandt Snedeker (2018),7.92
Rafa Cabrera Bello (2018),7.92
Chez Reavie (2018),7.92
Graeme McDowell (2018),7.92
Bill Haas (2018),7.92
Pat Perez (2018),7.92
Tyler Duncan (2018),8
Keegan Bradley (2018),8
Jhonattan Vegas (2018),8
Adam Scott (2018),8
Rod Pampling (2018),8
J.T. Poston (2018),8.08
Matt Atkins (2018),8.08
Michael Kim (2018),8.08
Chesson Hadley (2018),8.08
Shane Lowry (2018),8.08
Troy Merritt (2018),8.08
Xinjun Zhang (2018),8.08
Sam Saunders (2018),8.08
J.J. Henry (2018),8.08
Bryson DeChambeau (2018),8.17
Daniel Berger (2018),8.17
Whee Kim (2018),8.17
Brandon Harkins (2018),8.17
Martin Piller (2018),8.17
Kyle Stanley (2018),8.17
Brice Garnett (2018),8.17
Nate Lashley (2018),8.17
Scott Piercy (2018),8.17
Zecheng Dou (2018),8.25
Nicholas Lindheim (2018),8.25
Andrew Yun (2018),8.25
Kevin Chappell (2018),8.25
Michael Thompson (2018),8.25
Kevin Kisner (2018),8.25
Bronson Burgoon (2018),8.25
