Player,Putt <10 % Made
Ryan Blaum (2018),86.58
Billy Hurley III (2018),86.57
Kyle Thompson (2018),86.56
J.J. Spaun (2018),86.55
Harris English (2018),86.53
Luke List (2018),86.53
Sung Kang (2018),86.51
Stewart Cink (2018),86.48
Rory Sabbatini (2018),86.44
Ben Silverman (2018),86.42
Vaughn Taylor (2018),86.42
Cameron Percy (2018),86.42
Phil Mickelson (2018),86.38
Mackenzie Hughes (2018),86.37
J.J. Henry (2018),86.37
Cameron Tringale (2018),86.35
Sean O'Hair (2018),86.3
Lanto Griffin (2018),86.29
Robert Garrigus (2018),86.26
Matt Jones (2018),86.23
Tyler Duncan (2018),86.2
Tom Hoge (2018),86.19
Byeong Hun An (2018),86.18
Kevin Chappell (2018),86.11
Matt Every (2018),85.97
Matt Atkins (2018),85.96
Rob Oppenheim (2018),85.96
Retief Goosen (2018),85.92
Corey Conners (2018),85.83
Zecheng Dou (2018),85.82
J.B. Holmes (2018),85.82
Chad Campbell (2018),85.79
Ryan Palmer (2018),85.71
Xinjun Zhang (2018),85.62
Tom Lovelady (2018),85.51
Keith Mitchell (2018),85.44
Jason Dufner (2018),84.89
Satoshi Kodaira (2018),84.82
Brendan Steele (2018),84.54
Andrew Yun (2018),84.36
Grayson Murray (2018),84.27
Rod Pampling (2018),84.08
Wyndham Clark (2019),91.06
Harris English (2019),90.83
Brian Harman (2019),90.55
Dominic Bozzelli (2019),90.43
Denny McCarthy (2019),90.31
Brandt Snedeker (2019),90.23
Beau Hossler (2019),90.22
Jim Furyk (2019),90
Kevin Kisner (2019),89.98
Graeme McDowell (2019),89.8
Pat Perez (2019),89.68
Henrik Stenson (2019),89.52
Michael Thompson (2019),89.37
Wes Roach (2019),89.31
Kiradech Aphibarnrat (2019),89.29
Cameron Smith (2019),89.22
Troy Merritt (2019),89.1
Scott Brown (2019),89.1
Marc Leishman (2019),89.04
Jon Rahm (2019),89.01
Ryan Palmer (2019),88.97
Whee Kim (2019),88.95
C.T. Pan (2019),88.95
Nick Taylor (2019),88.94
Johnson Wagner (2019),88.88
Billy Horschel (2019),88.85
Carlos Ortiz (2019),88.84
Sebastián Muñoz (2019),88.82
Charles Howell III (2019),88.81
Scott Piercy (2019),88.8
Ian Poulter (2019),88.8
Brian Stuard (2019),88.78
Tommy Fleetwood (2019),88.78
Peter Malnati (2019),88.77
Sam Burns (2019),88.76
Rory McIlroy (2019),88.75
Bill Haas (2019),88.75
Sungjae Im (2019),88.74
Vaughn Taylor (2019),88.74
Chesson Hadley (2019),88.72
Brooks Koepka (2019),88.69
Nick Watney (2019),88.67
Chase Wright (2019),88.65
Patton Kizzire (2019),88.64
José de Jesús Rodríguez (2019),88.64
Sergio Garcia (2019),88.6
Aaron Baddeley (2019),88.59
Andrew Landry (2019),88.54
Rickie Fowler (2019),88.54
Daniel Berger (2019),88.48
Sam Saunders (2019),88.48
Webb Simpson (2019),88.48
Kyle Jones (2019),88.46
Adam Hadwin (2019),88.44
Jason Day (2019),88.44
Matt Kuchar (2019),88.41
Rory Sabbatini (2019),88.38
Ryan Blaum (2019),88.37
Brice Garnett (2019),88.36
Jimmy Walker (2019),88.36
Scott Langley (2019),88.35
Bud Cauley (2019),88.35
Robert Streb (2019),88.33
Seamus Power (2019),88.29
Lucas Glover (2019),88.27
J.T. Poston (2019),88.26
Bryson DeChambeau (2019),88.26
Martin Trainer (2019),88.22
Fabián Gómez (2019),88.22
J.J. Spaun (2019),88.21
Jim Herman (2019),88.21
Adam Schenk (2019),88.13
Matt Jones (2019),88.07
Cameron Tringale (2019),88.05
Brian Gay (2019),88.05
Ryan Armour (2019),88.03
Ernie Els (2019),88.01
Patrick Rodgers (2019),88
Jonas Blixt (2019),87.97
Louis Oosthuizen (2019),87.97
Patrick Reed (2019),87.96
Justin Rose (2019),87.96
Patrick Cantlay (2019),87.94
Hunter Mahan (2019),87.93
Xander Schauffele (2019),87.91
Sam Ryder (2019),87.91
Jordan Spieth (2019),87.91
Kyle Stanley (2019),87.88
Michael Kim (2019),87.83
Anirban Lahiri (2019),87.83
Julián Etulain (2019),87.83
Andrew Putnam (2019),87.82
Jason Kokrak (2019),87.81
Chez Reavie (2019),87.81
Joaquin Niemann (2019),87.78
Chris Stroud (2019),87.75
Mackenzie Hughes (2019),87.72
Danny Willett (2019),87.67
Freddie Jacobson (2019),87.67
Roberto Díaz (2019),87.65
Sangmoon Bae (2019),87.62
Abraham Ancer (2019),87.61
Anders Albertson (2019),87.6
Talor Gooch (2019),87.6
Si Woo Kim (2019),87.59
Kevin Tway (2019),87.59
Dylan Frittelli (2019),87.59
Harold Varner III (2019),87.57
Zach Johnson (2019),87.54
Richy Werenski (2019),87.52
Brady Schnell (2019),87.52
Nate Lashley (2019),87.48
Keith Mitchell (2019),87.47
Stephan Jaeger (2019),87.38
Peter Uihlein (2019),87.35
Roberto Castro (2019),87.34
Kevin Streelman (2019),87.33
Roger Sloan (2019),87.32
Ollie Schniederjans (2019),87.29
Bubba Watson (2019),87.25
Joel Dahmen (2019),87.24
Kyoung-Hoon Lee (2019),87.24
Josh Teater (2019),87.21
Kelly Kraft (2019),87.19
Trey Mullinax (2019),87.13
Paul Casey (2019),87.12
Martin Laird (2019),87.11
Kramer Hickok (2019),87.1
Matthew Fitzpatrick (2019),87.1
Adam Long (2019),87.09
Hideki Matsuyama (2019),87.08
Rafa Cabrera Bello (2019),87.08
Justin Thomas (2019),87.05
Jason Dufner (2019),86.99
Tyrrell Hatton (2019),86.98
David Hearn (2019),86.97
Ryan Moore (2019),86.97
Cameron Davis (2019),86.96
Russell Henley (2019),86.94
Alex Prugh (2019),86.92
Danny Lee (2019),86.92
Cameron Champ (2019),86.9
Byeong Hun An (2019),86.89
Phil Mickelson (2019),86.89
Cody Gribble (2019),86.86
Tom Hoge (2019),86.85
Joey Garber (2019),86.83
Brendan Steele (2019),86.82
Hudson Swafford (2019),86.8
Max Homa (2019),86.74
