Player,Avg Approach <100
Matt Kuchar (2019),14.42
Louis Oosthuizen (2019),14.5
Danny Willett (2019),14.5
Adam Long (2019),14.5
Kevin Na (2019),14.58
"Ted Potter, Jr. (2019)",14.58
Cameron Tringale (2019),14.67
Tyrrell Hatton (2019),14.75
Nate Lashley (2019),14.75
Lucas Glover (2019),14.75
Peter Uihlein (2019),14.92
Charles Howell III (2019),14.92
Troy Merritt (2019),14.92
Shawn Stefani (2019),15
Byeong Hun An (2019),15
Jimmy Walker (2019),15.08
Trey Mullinax (2019),15.08
Sung Kang (2019),15.17
Justin Thomas (2019),15.33
Vaughn Taylor (2019),15.5
Jhonattan Vegas (2019),15.5
Joaquin Niemann (2019),15.5
Whee Kim (2019),15.5
Brice Garnett (2019),15.58
Kevin Tway (2019),15.58
Peter Malnati (2019),15.58
Chesson Hadley (2019),15.58
Cameron Smith (2019),15.67
Andrew Putnam (2019),15.67
Jason Kokrak (2019),15.67
Bronson Burgoon (2019),15.67
Curtis Luck (2019),15.67
Sebastián Muñoz (2019),15.75
Jason Day (2019),15.75
Michael Thompson (2019),15.75
Jim Herman (2019),15.83
Dustin Johnson (2019),15.83
Russell Knox (2019),15.92
Brandon Harkins (2019),15.92
Corey Conners (2019),15.92
Seamus Power (2019),16
Phil Mickelson (2019),16
Brooks Koepka (2019),16.08
Brian Stuard (2019),16.17
Sam Ryder (2019),16.17
Talor Gooch (2019),16.17
Keith Mitchell (2019),16.25
Hank Lebioda (2019),16.25
Brandt Snedeker (2019),16.25
Webb Simpson (2019),16.25
Ryan Armour (2019),16.25
Robert Streb (2019),16.33
Adam Hadwin (2019),16.33
Ben Silverman (2019),16.33
Max Homa (2019),16.33
Danny Lee (2019),16.42
Jason Dufner (2019),16.42
Aaron Baddeley (2019),16.5
Sam Saunders (2019),16.5
Bud Cauley (2019),16.5
Patrick Rodgers (2019),16.5
J.T. Poston (2019),16.5
Kramer Hickok (2019),16.58
Martin Trainer (2019),16.58
Rod Pampling (2019),16.58
Freddie Jacobson (2019),16.58
David Hearn (2019),16.67
Josh Teater (2019),16.67
Jim Furyk (2019),16.75
Beau Hossler (2019),16.75
Denny McCarthy (2019),16.75
Adam Svensson (2019),16.83
Cameron Davis (2019),16.83
Jordan Spieth (2019),16.83
Chez Reavie (2019),16.83
Paul Casey (2019),16.92
Emiliano Grillo (2019),16.92
Ollie Schniederjans (2019),16.92
Nick Watney (2019),17
Billy Horschel (2019),17
Gary Woodland (2019),17.08
Branden Grace (2019),17.08
Roberto Castro (2019),17.08
Patrick Reed (2019),17.08
Jim Knous (2019),17.08
Si Woo Kim (2019),17.08
Roberto Díaz (2019),17.17
Ryan Blaum (2019),17.17
Brendan Steele (2019),17.25
Rafa Cabrera Bello (2019),17.25
Charley Hoffman (2019),17.25
Scott Stallings (2019),17.25
José de Jesús Rodríguez (2019),17.25
Seth Reeves (2019),17.25
Matthew Fitzpatrick (2019),17.33
Jon Rahm (2019),17.42
Brady Schnell (2019),17.42
Julián Etulain (2019),17.42
Roger Sloan (2019),17.42
Harold Varner III (2019),17.42
Adam Scott (2019),17.42
Francesco Molinari (2019),17.42
Scott Piercy (2019),17.42
Sergio Garcia (2019),17.5
Joey Garber (2019),17.5
Bryson DeChambeau (2019),17.5
J.J. Spaun (2019),17.5
Ryan Palmer (2019),17.58
Brian Gay (2019),17.58
J.B. Holmes (2019),17.58
Hudson Swafford (2019),17.58
Rory McIlroy (2019),17.67
Rory Sabbatini (2019),17.67
Bill Haas (2019),17.67
Matt Jones (2019),17.67
Austin Cook (2019),17.67
Aaron Wise (2019),17.67
Ian Poulter (2019),17.75
Fabián Gómez (2019),17.75
Dylan Frittelli (2019),17.75
Tony Finau (2019),17.83
Kelly Kraft (2019),17.92
Adam Schenk (2019),18
Sungjae Im (2019),18
C.T. Pan (2019),18.08
Martin Laird (2019),18.08
Chris Stroud (2019),18.17
Kyle Stanley (2019),18.17
Graeme McDowell (2019),18.25
Brian Harman (2019),18.33
Mackenzie Hughes (2019),18.33
Richy Werenski (2019),18.33
Wyndham Clark (2019),18.42
Andrew Landry (2019),18.42
Ryan Moore (2019),18.42
Hunter Mahan (2019),18.5
John Chin (2019),18.5
Cameron Champ (2019),18.5
Kyoung-Hoon Lee (2019),18.58
Patrick Cantlay (2019),18.67
Russell Henley (2019),18.75
Sangmoon Bae (2019),18.75
Wes Roach (2019),18.83
Michael Kim (2019),18.83
Chase Wright (2019),18.83
Cody Gribble (2019),18.92
J.J. Henry (2019),18.92
Alex Cejka (2019),19.08
Johnson Wagner (2019),19.17
Stephan Jaeger (2019),19.17
Sam Burns (2019),19.17
Anders Albertson (2019),19.17
Sepp Straka (2019),19.17
