Player,Putt >20 % Made
Stewart Cink (2018),8.14
Pat Perez (2018),8.05
Sam Ryder (2018),8.05
Chez Reavie (2018),8.03
Zac Blair (2018),8.02
Phil Mickelson (2018),8.01
Chris Kirk (2018),7.99
Brett Stegmaier (2018),7.98
Bill Haas (2018),7.96
Conrad Shindler (2018),7.92
Rory McIlroy (2018),7.91
Rob Oppenheim (2018),7.87
Lanto Griffin (2018),7.8
Gary Woodland (2018),7.77
Blayne Barber (2018),7.77
Derek Fathauer (2018),7.73
William McGirt (2018),7.71
David Lingmerth (2018),7.71
Xander Schauffele (2018),7.64
Rory Sabbatini (2018),7.61
Alex Cejka (2018),7.6
Chad Campbell (2018),7.59
Ollie Schniederjans (2018),7.59
"Ted Potter, Jr. (2018)",7.58
Patrick Reed (2018),7.58
Andrew Yun (2018),7.58
James Hahn (2018),7.57
Dominic Bozzelli (2018),7.55
Francesco Molinari (2018),7.52
Kyle Stanley (2018),7.48
Jim Furyk (2018),7.47
Johnson Wagner (2018),7.47
Aaron Wise (2018),7.47
Kevin Tway (2018),7.44
Hideki Matsuyama (2018),7.44
Tiger Woods (2018),7.41
Webb Simpson (2018),7.37
Russell Knox (2018),7.35
Jimmy Walker (2018),7.32
Scott Stallings (2018),7.32
Henrik Stenson (2018),7.28
Sean O'Hair (2018),7.26
Matt Atkins (2018),7.26
Seamus Power (2018),7.23
Graeme McDowell (2018),7.22
Daniel Summerhays (2018),7.22
Jason Dufner (2018),7.21
Chris Stroud (2018),7.19
Si Woo Kim (2018),7.19
Martin Piller (2018),7.18
Talor Gooch (2018),7.18
Trey Mullinax (2018),7.18
Jason Day (2018),7.17
Jamie Lovemark (2018),7.17
Andrew Landry (2018),7.11
Steve Wheatcroft (2018),7.09
Jason Kokrak (2018),7.09
Matt Kuchar (2018),7.05
Jordan Spieth (2018),7.01
J.B. Holmes (2018),6.97
Austin Cook (2018),6.95
Adam Schenk (2018),6.95
Cameron Tringale (2018),6.93
Charley Hoffman (2018),6.91
Andrew Putnam (2018),6.9
Anirban Lahiri (2018),6.89
Kiradech Aphibarnrat (2018),6.88
Xinjun Zhang (2018),6.86
Ethan Tracy (2018),6.86
Hunter Mahan (2018),6.85
Lucas Glover (2018),6.85
Branden Grace (2018),6.85
Abraham Ancer (2018),6.8
Shane Lowry (2018),6.79
Kevin Chappell (2018),6.78
Danny Lee (2018),6.76
Patton Kizzire (2018),6.76
Richy Werenski (2018),6.74
Denny McCarthy (2018),6.73
John Huh (2018),6.72
Patrick Rodgers (2018),6.72
Martin Flores (2018),6.7
Nick Watney (2018),6.68
Corey Conners (2018),6.65
Nick Taylor (2018),6.64
Brian Stuard (2018),6.62
Charl Schwartzel (2018),6.58
Mackenzie Hughes (2018),6.55
Sam Saunders (2018),6.52
Cameron Smith (2018),6.51
D.A. Points (2018),6.5
Vaughn Taylor (2018),6.47
Jonas Blixt (2018),6.47
Adam Hadwin (2018),6.44
Scott Brown (2018),6.39
Chesson Hadley (2018),6.38
Rickie Fowler (2018),6.35
Tyler Duncan (2018),6.34
Shawn Stefani (2018),6.33
Peter Malnati (2018),6.3
Rod Pampling (2018),6.28
Kelly Kraft (2018),6.28
Luke List (2018),6.21
Adam Scott (2018),6.17
Daniel Berger (2018),6.15
Bryson DeChambeau (2018),6.05
Ben Crane (2018),6.04
Jhonattan Vegas (2018),6.04
Billy Horschel (2018),6.04
