Player,StrokeAverage
Rafa Cabrera Bello (2018),69.887
Patrick Cantlay (2018),69.899
Jordan Spieth (2018),69.904
Zach Johnson (2018),69.911
Jon Rahm (2018),69.958
Alex Noren (2018),69.973
Ryan Moore (2018),70.015
Hideki Matsuyama (2018),70.022
Tyrrell Hatton (2018),70.091
Phil Mickelson (2018),70.098
Patrick Reed (2018),70.106
Emiliano Grillo (2018),70.152
Billy Horschel (2018),70.154
Louis Oosthuizen (2018),70.157
Gary Woodland (2018),70.161
Byeong Hun An (2018),70.19
Charles Howell III (2018),70.219
Luke List (2018),70.229
Aaron Wise (2018),70.247
Marc Leishman (2018),70.26
Brian Gay (2018),70.28
Kevin Na (2018),70.288
Keegan Bradley (2018),70.303
Chesson Hadley (2018),70.311
Daniel Berger (2018),70.32
Jim Furyk (2018),70.342
Brandt Snedeker (2018),70.379
Bubba Watson (2018),70.384
Kyle Stanley (2018),70.404
Chris Kirk (2018),70.411
Branden Grace (2018),70.412
Adam Scott (2018),70.42
Chez Reavie (2018),70.432
Kevin Streelman (2018),70.436
Stewart Cink (2018),70.44
Jason Kokrak (2018),70.444
C.T. Pan (2018),70.457
Matt Kuchar (2018),70.461
Austin Cook (2018),70.469
Xander Schauffele (2018),70.486
Russell Henley (2018),70.489
Cameron Smith (2018),70.517
Charley Hoffman (2018),70.521
J.J. Spaun (2018),70.525
Brian Harman (2018),70.536
Russell Knox (2018),70.568
Beau Hossler (2018),70.574
Joel Dahmen (2018),70.578
Peter Uihlein (2018),70.578
Andrew Putnam (2018),70.579
Ian Poulter (2018),70.593
Pat Perez (2018),70.594
Kiradech Aphibarnrat (2018),70.629
Ollie Schniederjans (2018),70.641
Abraham Ancer (2018),70.659
Anirban Lahiri (2018),70.66
Alex Cejka (2018),70.675
Vaughn Taylor (2018),70.692
Rory Sabbatini (2018),70.693
Bronson Burgoon (2018),70.701
John Huh (2018),70.718
Scott Stallings (2018),70.719
Brandon Harkins (2018),70.721
Kevin Kisner (2018),70.729
Patrick Rodgers (2018),70.731
Jamie Lovemark (2018),70.734
Scott Piercy (2018),70.736
Corey Conners (2018),70.743
Adam Hadwin (2018),70.75
Shane Lowry (2018),70.754
Johnson Wagner (2018),70.758
Ryan Armour (2018),70.758
Jimmy Walker (2018),70.786
J.B. Holmes (2018),70.789
William McGirt (2018),70.791
Sam Saunders (2018),70.794
Kevin Tway (2018),70.8
Trey Mullinax (2018),70.815
Blayne Barber (2018),70.835
Kevin Chappell (2018),70.839
Martin Laird (2018),70.839
Patton Kizzire (2018),70.841
Peter Malnati (2018),70.841
Aaron Baddeley (2018),70.85
Denny McCarthy (2018),70.861
Nick Watney (2018),70.862
Seamus Power (2018),70.869
Troy Merritt (2018),70.888
James Hahn (2018),70.896
Cameron Percy (2018),70.909
Sam Ryder (2018),70.914
J.T. Poston (2018),70.915
Keith Mitchell (2018),70.92
Michael Thompson (2018),70.924
Tom Hoge (2018),70.945
Harold Varner III (2018),70.971
Ben Martin (2018),70.974
Ryan Blaum (2018),70.993
Nate Lashley (2018),70.999
Graeme McDowell (2018),71.001
Brice Garnett (2018),71.018
Fabián Gómez (2018),71.02
Brendan Steele (2018),71.021
"Ted Potter, Jr. (2018)",71.024
Bill Haas (2018),71.028
Ryan Palmer (2018),71.031
Brian Stuard (2018),71.038
Tyler Duncan (2018),71.04
David Lingmerth (2018),71.043
Andrew Landry (2018),71.059
Lucas Glover (2018),71.066
Ben Crane (2018),71.097
Matt Jones (2018),71.112
Hunter Mahan (2018),71.135
Lanto Griffin (2018),71.145
Talor Gooch (2018),71.149
Harris English (2018),71.162
Dominic Bozzelli (2018),71.179
Richy Werenski (2018),71.185
Brett Stegmaier (2018),71.191
Shawn Stefani (2018),71.192
Danny Lee (2018),71.196
Zac Blair (2018),71.215
Tyrone Van Aswegen (2018),71.243
Tom Lovelady (2018),71.252
Nick Taylor (2018),71.269
Jhonattan Vegas (2018),71.275
Ben Silverman (2018),71.281
Mackenzie Hughes (2018),71.282
Jason Dufner (2018),71.323
David Hearn (2018),71.325
Scott Brown (2018),71.329
Kelly Kraft (2018),71.333
Nicholas Lindheim (2018),71.344
Charl Schwartzel (2018),71.349
Bud Cauley (2018),71.356
Stephan Jaeger (2018),71.356
Si Woo Kim (2018),71.367
Adam Schenk (2018),71.37
